name,colour_from_title,has_static_image,price_current_local,price_current_usd,price_original_local,discount_pct_display,discount_pct_calc,on_sale,materials_text,made_in,currency
CHAIN SLIP DRESS - THE ITEM ZARA WOMAN - Burgundy | ZARA United States,Burgundy,True,29.80,29.80,149.00.00,-80,89.54,True,"COMPOSITION & CARE | COMPOSITION
OUTER SHELL
100% viscose
LINING
100% viscose | COMPOSITION | OUTER SHELL | 100% viscose | LINING",,USD
ZW COLLECTION MID-RISE BARREL LEG JEANS - Brown | ZARA United States,Brown,True,13.98,13.98,69.90,-80,80.00,True,"COMPOSITION & CARE | Composition: 100% cotton | Composition | COMPOSITION
OUTER SHELL
100% cotton | OUTER SHELL | 100% cotton | Which has at least:
OUTER SHELL
20% RCS-certified recycled cotton
80% OCS certified organically grown cotton | 20% RCS-certified recycled cotton | 80% OCS certified organically grown cotton",,USD
HERRINGBONE WOOL BLAZER ZW COLLECTION - Light brown | ZARA United States,Light brown,True,29.80,29.80,149.00,-80,80.00,True,"COMPOSITION & CARE | OUTER SHELL
63% polyester
33% wool
4% other fibres
LINING
55% polyester
45% viscose | OUTER SHELL
63% polyester
33% wool
4% other fibres | OUTER SHELL | 63% polyester | 33% wool | LINING
55% polyester
45% viscose | LINING | 55% polyester | 45% viscose | COMPOSITION
OUTER SHELL
63% polyester
33% wool
4% other fibres
LINING
55% polyester
45% viscose | COMPOSITION | 63% polyester
33% wool
4% other fibres | 55% polyester
45% viscose | Which has at least:
OUTER SHELL
63% RCS-certified recycled polyester
33% RCS-certified recycled wool | 63% RCS-certified recycled polyester | 33% RCS-certified recycled wool",,USD
EMBROIDERED BEADED DRESS ZW COLLECTION LIMITED EDITION - Brown | ZARA United States,Brown,True,35.80,35.80,179.00,-80,80.00,True,"COMPOSITION & CARE | OUTER SHELL
MAIN FABRIC
100% viscose
EMBROIDERY
70% polyester
30% metallised fibre
LINING
100% polyester | OUTER SHELL
MAIN FABRIC
100% viscose
EMBROIDERY
70% polyester
30% metallised fibre | OUTER SHELL | MAIN FABRIC
100% viscose | MAIN FABRIC | 100% viscose | EMBROIDERY
70% polyester
30% metallised fibre | 70% polyester | LINING
100% polyester | LINING | 100% polyester | COMPOSITION
OUTER SHELL
MAIN FABRIC
100% viscose
EMBROIDERY
70% polyester
30% metallised fibre
LINING
100% polyester | COMPOSITION | 70% polyester
30% metallised fibre | 70% RCS-certified recycled polyester | 100% RCS-certified recycled polyester",,USD
ZW COLLECTION LIMITED EDITION EMBROIDERED VELVET KIMONO - Ocher | ZARA United States,Ocher,True,45.80,45.80,229.00,-80,80.00,True,"COMPOSITION & CARE | OUTER SHELL
MAIN FABRIC
100% polyester
EMBROIDERY
100% metallised fibre
LINING
100% cotton | OUTER SHELL
MAIN FABRIC
100% polyester
EMBROIDERY
100% metallised fibre | OUTER SHELL | MAIN FABRIC
100% polyester | MAIN FABRIC | 100% polyester | LINING
100% cotton | LINING | 100% cotton | COMPOSITION
OUTER SHELL
MAIN FABRIC
100% polyester
EMBROIDERY
100% metallised fibre
LINING
100% cotton | COMPOSITION | 100% RCS-certified recycled polyester | 100% OCS certified organically grown cotton",,USD
LEATHER SLINGBACK SANDALS - Black | ZARA United States,Black,True,22.77,22.77,75.90,-70,70.00,True,"COMPOSITION & CARE | UPPER
100% sheep leather
LINING
100% polyester
SOLE
100% polyurethane thermoplastic
INSOLE
100% polyurethane | UPPER
100% sheep leather | 100% sheep leather | LINING
100% polyester | LINING | 100% polyester | COMPOSITION | Lining and insole | 100% RCS-certified recycled polyester",,USD
ZW COLLECTION HIGH-WAIST BALLOON JEANS - Blue | ZARA United States,Blue,True,19.98,19.98,99.90,-80,80.00,True,"COMPOSITION & CARE | Composition: 100% cotton | Composition | COMPOSITION
OUTER SHELL
100% cotton | OUTER SHELL | 100% cotton",,USD
ZW COLLECTION LIMITED EDITION SEQUIN STRAP TOP - Copper | ZARA United States,Copper,True,35.80,35.80,179.00,-80,80.00,True,"COMPOSITION & CARE | OUTER SHELL
100% polyester
LINING
100% viscose | OUTER SHELL
100% polyester | OUTER SHELL | 100% polyester | LINING
100% viscose | LINING | 100% viscose | COMPOSITION
OUTER SHELL
100% polyester
LINING
100% viscose | COMPOSITION | Which has at least:
OUTER SHELL
100% RCS-certified recycled polyester | 100% RCS-certified recycled polyester",,USD
FITTED BLAZER WITH FAUX FUR COLLAR ZW COLLECTION - Gray marl | ZARA United States,Gray marl,True,29.80,29.80,149.00,-80,80.00,True,"COMPOSITION & CARE | OUTER SHELL
35% cotton
34% polyester
30% viscose
1% other fibres
LINING
100% viscose | OUTER SHELL
35% cotton
34% polyester
30% viscose
1% other fibres | OUTER SHELL | 35% cotton | 34% polyester | 30% viscose | LINING
100% viscose | LINING | 100% viscose | COMPOSITION
OUTER SHELL
35% cotton
34% polyester
30% viscose
1% other fibres
LINING
100% viscose | COMPOSITION | 35% cotton
34% polyester
30% viscose
1% other fibres | Which has at least:
OUTER SHELL
34% RCS-certified recycled polyester
35% RCS-certified recycled cotton | 34% RCS-certified recycled polyester | 35% RCS-certified recycled cotton",,USD
BALLOON STRIPED PANTS ZW COLLECTION - brown vigore | ZARA United States,brown vigore,True,19.98,19.98,99.90,-80,80.00,True,"COMPOSITION & CARE | OUTER SHELL
100% cotton
LINING
100% polyester | OUTER SHELL
100% cotton | OUTER SHELL | 100% cotton | LINING
100% polyester | LINING | 100% polyester | COMPOSITION
OUTER SHELL
100% cotton
LINING
100% polyester | COMPOSITION",,USD
