name,has_static_image,price_current,price_original,currency
CAMISOLE DRESS WITH CHAIN - THE ITEM ZARA WOMAN - Burgundy | ZARA India,True,5730.00,,INR
ZW COLLECTION MID-WAIST BARREL JEANS - Brown | ZARA India,True,2610.00,,INR
HERRINGBONE WOOL BLEND BLAZER ZW COLLECTION - Light brown | ZARA India,True,5730.00,,INR
ZW COLLECTION LIMITED EDITION EMBROIDERED DRESS WITH BEADS - Brown | ZARA India,True,7170.00,,INR
ZW COLLECTION LIMITED EDITION EMBROIDERED VELVET KIMONO - Ochre | ZARA India,True,9330.00,,INR
Search engine | ZARA India,True,2480.00,,INR
ZW COLLECTION BALLOON HIGH-WAIST JEANS - Blue | ZARA India,True,3570.00,,INR
ZW COLLECTION LIMITED EDITION SEQUIN STRAPPY TOP - Copper | ZARA India,True,7170.00,,INR
FAUX FUR COLLAR FITTED BLAZER ZW COLLECTION - Grey marl | ZARA India,True,5730.00,,INR
ZW COLLECTION STRIPED BALLOON TROUSERS - brown vigore | ZARA India,True,3570.00,,INR
