name,colour_from_title,price_current_usd,price_current_local,price_original_local,discount_pct_display,discount_pct_calc,on_sale,materials_text,made_in,currency
High-rise wide leg jeans with pockets - Women | MANGO USA,Medium Blue,35.99,35.99,79.99,-55,55.01,True,Composition: 100% cotton,"Bangladesh
Dye",USD
Wide leg pleated jeans - Women | MANGO USA,Open Blue,29.99,29.99,69.99,-57,57.15,True,"Composition: 100% cotton | Lining: 65% polyester, 35% cotton","Bangladesh
Dye",USD
Long printed dress - Women | MANGO USA,Red,25.99,25.99,69.99,-63,62.87,True,"Composition: 85% viscose, 15% polyamide","Cambodia
Dye",USD
Draped dress with metallic detail - Women | MANGO USA,Black,69.99,69.99,139.99,-50,50.00,True,"Composition: 94% polyester, 6% elastane","Vietnam
Dye",USD
Wide leg jeans with rhinestones - Women | MANGO USA,Black denim,69.99,69.99,99.99,-30,30.00,True,"Composition: 100% cotton | Lining: 65% polyester, 35% cotton","China
Dye",USD
Satin top with straps - Women | MANGO USA,Night Blue,69.99,69.99,,,,False,Composition: 100% polyester | Lining: 100% polyester,"China
Dye",USD
Draped neck satin top - Women | MANGO USA,Brown,59.99,59.99,,,,False,"Composition: 82% viscose, 18% polyamide","Cambodia
CARE

Machine washing max",USD
Belt shirt dress - Women | MANGO USA,Red,89.99,89.99,,,,False,100% cotton fabric. Midi design. A-line design. Shirt collar. Short sleeve. Belt loops. Adjustable belt. Front button closure. | Composition: 100% cotton,"China
Dye",USD
Leggings with seam detail - Women | MANGO USA,Brown,59.99,59.99,,,,False,"Composition: 60% viscose, 36% polyester, 4% elastane","Cambodia
Dye",USD
Medium-knit sweater - Women | MANGO USA,Grey,39.99,39.99,69.99,-43,42.86,True,"Composition: 60% acrylic, 37% polyester, 3% wool","China
Dye",USD
